,[Key]resource-key:string,en-us:string,zh-cn:string,zh-tw:string,fr-fr:string,ja:string,ko-kr:string,es:string,Descriptions:string
 ,UNLESS_STOPPED,Unless Stopped,除非停止,除非停止,Unless Stopped,停止されていない限り,중지되지 않는 한,A menos que se detenga,restart policy option
 ,ON_FAILURE,On Failure,失败时,失敗时,On Failure,失敗時,실패 시,En caso de fallo,restart policy option
 ,MAX_RETRY,Max Retry Count,最大重试次数,最大重试次數,Max Retry Count,最大リトライ回数,최대 재시도 횟수,Número máximo de reintentos,label
 ,ADVANCED,Advanced,高级,進階,Advanced,高度,고급,Avanzado,tab title
 ,ENTRYPOINT,Entrypoint,入口点,入口點,Entrypoint,エントリーポイント,진입점,Punto de entrada,label
 ,COMMAND,Command,命令,命令,Command,コマンド,명령,Comando,label
 ,WORKING_DIR,Working Directory,工作目录,工作目錄,Working Directory,作業ディレクトリ,작업 디렉토리,Directorio de trabajo,label
 ,TTY,TTY,TTY,TTY,TTY,TTY,TTY,TTY,label
 ,ATTACH_STDIN,Attach STDIN,附加 STDIN,附加 STDIN,Attach STDIN,STDIN をアタッチ,STDIN 연결,Adjuntar STDIN,label
 ,ATTACH_STDOUT,Attach STDOUT,附加 STDOUT,附加 STDOUT,Attach STDOUT,STDOUT をアタッチ,STDOUT 연결,Adjuntar STDOUT,label
 ,ATTACH_STDERR,Attach STDERR,附加 STDERR,附加 STDERR,Attach STDERR,STDERR をアタッチ,STDERR 연결,Adjuntar STDERR,label
 ,BASIC,Basic,基础,基礎,Basic,基本,기본,Básico,tab title
 ,VALIDATION_REQUIRED,This field is required,此字段为必填项,此欄位為必填項,This field is required,このフィールドは必須です,이 필드는 필수입니다,Este campo es obligatorio,validation message
 ,VALIDATION_INVALID_NAME,Invalid container name,无效的容器名称,無效的容器名稱,Invalid container name,無効なコンテナ名,잘못된 컨테이너 이름,Nombre de contenedor no válido,validation message
 ,VALIDATION_INVALID_PORT,Invalid port number,无效的端口号,無效的埠號,Invalid port number,無効なポート番号,잘못된 포트 번호,Número de puerto no válido,validation message
 ,VALIDATION_DUP_PORT,Duplicate port mapping,重复的端口映射,重複的埠映射,Duplicate port mapping,重複するポートマッピング,중복된 포트 매핑,Mapeo de puerto duplicado,validation message
 ,VALIDATION_INVALID_IP,Invalid IP address,无效的 IP 地址,無效的 IP 位址,Invalid IP address,無効な IP アドレス,잘못된 IP 주소,Dirección IP no válida,validation message
 ,PULLING_IMAGE,Pulling image...,拉取镜像中...,拉取映像中...,Pulling image...,イメージをプル中...,이미지를 가져오는 중...,Extrayendo imagen...,status message
 ,CREATE_IN_PROGRESS,Creating container...,创建容器中...,建立容器中...,Creating container...,コンテナを作成中...,컨테이너 생성 중...,Creando contenedor...,status message
 ,CREATE_SUCCESS,Container created successfully,容器创建成功,容器建立成功,Container created successfully,コンテナが正常に作成されました,컨테이너가 성공적으로 생성되었습니다,Contenedor creado correctamente,success message
 ,CREATE_FAILED,Failed to create container,容器创建失败,容器建立失敗,Failed to create container,コンテナの作成に失敗しました,컨테이너 생성 실패,Error al crear el contenedor,error message
 ,START_AFTER_CREATE,Start after create,创建后启动,建立後啟動,Start after create,作成後に起動,생성 후 시작,Iniciar después de crear,label
 ,START_FAILED,Failed to start container,容器启动失败,容器啟動失敗,Failed to start container,コンテナの起動に失敗しました,컨테이너 시작 실패,Error al iniciar el contenedor,error message

# Docker Run Parser tab strings,,,,,,,,,
 ,DOCKER_RUN_PARSER,Docker Run Parser,Docker Run 解析器,Docker Run 解析器,Docker Run Parser,Docker Run パーサー,Docker Run 파서,Analizador de Docker Run,tab title
 ,DOCKER_RUN_COMMAND,Docker Run Command,Docker Run 命令,Docker Run 命令,Docker Run Command,Docker Run コマンド,Docker Run 명령,Comando Docker Run,label
 ,DOCKER_RUN_PLACEHOLDER,Paste your docker run command here...,在此粘贴您的 docker run 命令...,在此貼上您的 docker run 命令...,Paste your docker run command here...,docker run コマンドをここに貼り付けてください...,여기에 docker run 명령을 붙여넣으세요...,Pegue su comando docker run aquí...,placeholder
 ,PARSE_COMMAND,Parse Command,解析命令,解析命令,Parse Command,コマンドを解析,명령 파싱,Analizar comando,button text
 ,PARSING,Parsing...,解析中...,解析中...,Parsing...,解析中...,파싱 중...,Analizando...,status message
 ,PARSE_SUCCESS,Command parsed successfully,命令解析成功,命令解析成功,Command parsed successfully,コマンドが正常に解析されました,명령이 성공적으로 파싱되었습니다,Comando analizado correctamente,success message
 ,PARSE_FAILED,Failed to parse command,命令解析失败,命令解析失敗,Failed to parse command,コマンドの解析に失敗しました,명령 파싱 실패,Error al analizar el comando,error message
 ,PARSE_HELP,Enter a complete docker run command to automatically parse and populate the form fields,输入完整的 docker run 命令以自动解析并填充表单字段,輸入完整的 docker run 命令以自動解析并填充表單欄位,Enter a complete docker run command to automatically parse and populate the form fields,完全な docker run コマンドを入力すると、自動的に解析してフォームフィールドに入力されます,완전한 docker run 명령을 입력하면 자동으로 파싱하여 양식 필드를 채웁니다,Ingrese un comando docker run completo para analizar y completar automáticamente los campos del formulario,help text

# Container Exec Terminal strings,,,,,,,,,
 ,TERMINAL,Terminal,终端,終端機,Terminal,ターミナル,터미널,Terminal,menu item / button tooltip
 ,OPEN_TERMINAL,Open Terminal,打开终端,開啟終端機,Open Terminal,ターミナルを開く,터미널 열기,Abrir terminal,button text
 ,OPEN_IN_NEW_PAGE,Open in New Page,在新页面中打开,在新頁面中開啟,Open in New Page,新しいページで開く,새 페이지에서 열기,Abrir en nueva página,link text
 ,CONTAINER_TERMINAL,Container Terminal,容器终端,容器終端機,Container Terminal,コンテナターミナル,컨테이너 터미널,Terminal del contenedor,dialog/page title
 ,EXEC_CONNECTING,Connecting...,连接中...,連線中...,Connecting...,接続中...,연결 중...,Conectando...,status message
 ,EXEC_CONNECTED,Connected,已连接,已連線,Connected,接続済み,연결됨,Conectado,status message
 ,EXEC_DISCONNECTED,Disconnected,已断开,已斷開,Disconnected,切断済み,연결 끊김,Desconectado,status message
 ,EXEC_RECONNECT,Reconnect,重新连接,重新連線,Reconnect,再接続,재연결,Reconectar,button text
 ,EXEC_CLEAR,Clear,清屏,清除畫面,Clear,クリア,지우기,Limpiar,button text
 ,EXEC_COPY_ALL,Copy All,复制全部,複製全部,Copy All,すべてコピー,모두 복사,Copiar todo,button text
 ,EXEC_SETTINGS,Settings,设置,設定,Settings,設定,설정,Configuración,button text
 ,EXEC_SHELL,Shell,Shell,Shell,Shell,シェル,셸,Shell,label
 ,EXEC_WORKDIR,Working Directory,工作目录,工作目錄,Working Directory,作業ディレクトリ,작업 디렉토리,Directorio de trabajo,label
 ,EXEC_USER,User,用户,用户,User,ユーザー,사용자,Usuario,label
 ,EXEC_TTY,TTY,TTY,TTY,TTY,TTY,TTY,TTY,label
 ,CONTAINER_NOT_RUNNING,Container is not running. Cannot open terminal.,容器未运行，无法打开终端。,容器未執行，無法開啟終端機。,Container is not running. Cannot open terminal.,コンテナが実行されていません。ターミナルを開けません。,컨테이너가 실행 중이 아닙니다. 터미널을 열 수 없습니다.,El contenedor no se está ejecutando. No se puede abrir el terminal.,error message
 ,EXEC_UNAVAILABLE_SHELL,Shell not available in container,容器中 Shell 不可用,容器中 Shell 不可用,Shell not available in container,コンテナで Shell が利用できません,컨테이너에서 셸을 사용할 수 없습니다,Shell no disponible en el contenedor,error message
 ,RESIZE,Resize,调整大小,調整大小,Resize,サイズ変更,크기 조정,Redimensionar,button text
 ,ROWS,Rows,行数,行數,Rows,行数,행 수,Filas,label
 ,COLS,Columns,列数,列數,Columns,列数,열 수,Columnas,label
 ,EXEC_SESSION_ENDED,Session ended. Container may have stopped or exec process terminated.,会话已结束。容器可能已停止或执行进程已终止。,工作階段已結束。容器可能已停止或執行處理程序已終止。,Session ended. Container may have stopped or exec process terminated.,セッションが終了しました。コンテナが停止したか、exec プロセスが終了した可能性があります。,세션이 종료되었습니다. 컨테이너가 중지되었거나 exec 프로세스가 종료되었을 수 있습니다.,Sesión finalizada. El contenedor puede haberse detenido o el proceso exec ha terminado.,status message
 ,DISCONNECT,Disconnect,断开连接,斷開連線,Disconnect,切断,연결 끊기,Desconectar,button text
 ,TYPE_COMMAND,Type command and press Enter...,输入命令并按回车...,輸入命令并按回车...,Type command and press Enter...,コマンドを入力して Enter キーを押してください...,명령을 입력하고 Enter를 누르세요...,Escriba el comando y presione Enter...,placeholder text
